"productionCountry_id","movie_id"
"US",140607
"US",168259
"FR",10227
"IT",10227
"GB",679
"US",679
"US",19995
"GB",19995
"US",152599
"US",118340
"GB",1245
"US",1245
"DK",284689
"GB",284689
"GB",266856
"NZ",713
"AU",713
"FR",713
"KR",214910
"US",130150
"FR",225574
"GB",225574
"US",225574
"FR",9736
"FR",192
"IT",192
"DE",192
"US",978
"US",152532
"US",228970
"US",8078
"FR",194
"DE",194
"CA",157841
"FR",157841
"US",64720
"US",103731
"US",4104
"US",251
"DE",1554
"US",1554
"DE",4816
"US",4816
"FR",4816
"JP",4816
"GR",152603
"US",152603
"GB",152603
"DE",152603
"FR",152603
"CY",152603
"US",7445
"FR",31900
"US",331
"US",307081
"GB",290
"US",290
"GB",115
"US",115
"US",6977
"US",1551
"US",1817
"US",198277
"US",1091
"US",1366
"US",20766
"US",2108
"AU",140823
"GB",140823
"US",140823
"US",106
"US",1669
"US",1572
"US",9387
"US",3116
"GB",85889
"US",85889
"DE",85889
"SE",85889
"BE",85889
"US",773
"US",274
"US",9800
"US",75612
"US",222935
"US",115782
"US",99861
"US",80278
"ES",80278
"US",198663
"US",97630
"GB",581
"US",581
"FR",2013
"US",2013
"DE",6478
"GB",6478
"US",6478
"CA",43920
"FR",43920
"GB",43920
"KR",11344
"KR",15067
"KR",49797
"KR",269494
"FR",2457
"DK",62215
"FR",62215
"DE",62215
"SE",62215
"GB",1571
"US",1571
"GB",14794
"FR",101
"US",101
"GB",866
"US",866
"FR",8438
"US",8438
"US",19913
"FR",303483
"GB",14574
"US",14574
"IT",36557
"GB",36557
"US",36557
"CZ",36557
"DE",36557
"US",1578
"US",11873
"FR",524
"US",524
"US",3131
"IT",3131
"US",11324
"FR",406
"US",119450
"US",13573
"GB",234200
"US",1579
"AU",206487
"US",9802
"AT",10234
"US",11454
"US",9361
"US",154400
"GE",245692
"FR",245692
"US",244267
"US",2288
"DK",196024
"DE",196024
"NO",196024
"SE",196024
"DK",254201
"DE",254201
"NO",254201
"SE",254201
"US",279
"JP",303903
"US",205596
"KR",57361
"US",51876
"US",68724
"MX",198184
"ZA",198184
"US",198184
"US",11036
"DK",2061
"DK",11328
"GB",11328
"US",64690
"US",63
"US",792
"GB",792
"US",241
"GB",310593
"IT",310593
"FR",310593
"CH",310593
"KR",670
"US",574
"US",109424
"FR",22504
"US",861
"FR",402
"US",402
"US",11005
"US",250734
"US",193756
"NZ",49051
"US",49051
"NZ",57158
"US",57158
"NZ",122917
"US",122917
"US",102899
"FR",5336
"IT",5336
"FR",8681
"GB",8681
"US",8681
"FR",45649
"AO",45649
"FR",179150
"US",500
"US",680
"US",393
"US",1991
"DE",16869
"US",16869
"US",68718
"GB",508
"US",508
"FR",4348
"GB",4348
"US",4348
"US",1573
"CN",59967
"US",59967
"US",22803
"US",941
"US",942
"US",943
"US",944
"US",12101
"US",85350
"US",348
"GB",348
"GB",98
"US",98
"GB",855
"US",855
"GB",9740
"US",9740
"GB",20662
"US",20662
"GB",286217
"US",286217
"US",1904
"US",1700
"US",293
"US",11450
"CA",22538
"GB",22538
"US",22538
"US",13
"US",285783
"FR",11416
"GB",11416
"US",805
"ES",205775
"US",205775
"FR",186161
"PT",186161
"US",19908
"US",82682
"AU",256917
"US",256917
"US",312221
"US",294963
"US",112336
"US",14
"US",4147
"US",764
"US",16121
"GB",245168
"PH",158091
"GB",158091
"IT",938
"ES",938
"DE",938
"IT",335
"ES",335
"US",335
"IT",336
"US",311
"IT",311
"GB",11798
"KR",272691
"US",389
"JP",153
"US",153
"US",152601
"US",1429
"US",39486
"GB",935
"US",935
"GB",185
"US",185
"US",967
"US",238713
"US",84892
"BR",206563
"DE",206563
"GB",206563
"GB",205220
"GB",76025
"US",161
"US",839
"US",424
"US",329
"US",640
"US",594
"US",57212
"IN",296098
"US",296098
"DE",296098
"US",11943
"US",11963
"US",1367
"US",1371
"US",239566
"US",426
"CA",205
"GB",205
"US",205
"IT",205
"ZA",205
"GB",762
"GB",4543
"US",239563
"US",12473
"DK",103663
"SE",103663
"US",4011
"GB",364
"US",364
"US",522
"DE",2668
"US",2668
"US",12155
"CA",87093
"US",87093
"US",293660
"CA",314365
"US",314365
"US",13008
"FR",280
"US",280
"US",73
"US",744
"GB",9509
"US",9509
"US",8967
"FR",320318
"US",172520
"BR",1653
"AR",1653
"CL",1653
"FR",1653
"DE",1653
"PE",1653
"GB",1653
"US",1653
"US",284293
"US",83666
"DE",120467
"US",120467
"FR",1986
"IL",1986
"BE",1986
"IT",1986
"US",294254
"US",377
"US",703
"US",116
"RU",116
"GB",116
"IE",116
"LU",116
"CA",184352
"FR",184352
"FR",322125
"US",401
"CN",76758
"HK",76758
"US",188927
"US",303991
"CN",309302
"GB",290250
"US",290250
