"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
283366,2016,"Miss Peregrine's Home for Peculiar Children",6.7,6203,110000000
68730,2016,"Silence",7.1,1558,46000000
333484,2016,"The Magnificent Seven",6.2,3638,90000000
393457,2016,"Fences",6.8,1463,24000000
296524,2016,"Deepwater Horizon",6.7,2606,110000000
258230,2016,"A Monster Calls",7.1,1918,43000000
363676,2016,"Sully",7.1,3919,60000000
259316,2016,"Fantastic Beasts and Where to Find Them",7.4,12131,180000000
324786,2016,"Hacksaw Ridge",8.1,6595,40000000
11421,2005,"C.R.A.Z.Y.",7.7,219,0
68735,2016,"Warcraft",6.3,4065,160000000
396535,2016,"Train to Busan",7.7,2532,8820000
345920,2016,"Collateral Beauty",7.2,3264,36000000
274870,2016,"Passengers",6.8,7856,110000000
302946,2016,"The Accountant",6.9,3404,44000000
180863,2017,"T2 Trainspotting",7,1737,18000000
334543,2016,"Lion",8.1,3823,12000000
319888,2016,"Eddie the Eagle",7.2,1189,23000000
82702,2014,"How to Train Your Dragon 2",7.7,5582,145000000
88273,2012,"A Royal Affair",7.4,449,8000000
18628,1968,"Very Happy Alexander",6.5,50,0
112198,2012,"What's in a Name",7.3,866,0
192767,2014,"Noble",6.8,16,0
364137,2015,"All Three of Us",7.7,274,0
891,1976,"All the President's Men",7.7,760,8500000
13815,1994,"Fresh",7.6,77,0
265177,2014,"Mommy",8.3,1396,4900000
302401,2016,"Snowden",7.1,2420,40000000
59440,2011,"Warrior",7.8,2181,25000000
16804,2008,"Departures",7.9,311,0
429,1966,"The Good, the Bad and the Ugly",8.4,4047,1200000
10386,1999,"The Iron Giant",7.8,2791,70000000
18947,2009,"The Boat That Rocked",7.3,1174,50000000
9003,1987,"Hellraiser",7,923,1000000
101299,2013,"The Hunger Games: Catching Fire",7.4,11154,130000000
131631,2014,"The Hunger Games: Mockingjay - Part 1",6.8,10072,125000000
131634,2015,"The Hunger Games: Mockingjay - Part 2",6.8,7596,160000000
265228,2014,"Timbuktu",7,255,0
12143,1992,"Bad Lieutenant",7.2,307,1000000
7984,1993,"In the Name of the Father",7.9,746,13000000
770,1939,"Gone with the Wind",7.9,1752,4000000
76338,2013,"Thor: The Dark World",6.7,10155,170000000
19963,1996,"Bernie",7.2,100,0
236735,2014,"Marshland",7.1,466,4000000
1164,2006,"Babel",7.1,1888,25000000
194662,2014,"Birdman",7.4,7737,18000000
281957,2015,"The Revenant",7.4,11053,135000000
