"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
1653,2004,"The Motorcycle Diaries",7.4,603,0
284293,2014,"Still Alice",7.5,1944,5000000
83666,2012,"Moonrise Kingdom",7.7,3018,16000000
120467,2014,"The Grand Budapest Hotel",8,8071,30000000
1986,2005,"Live and Become",7.5,86,0
294254,2015,"Maze Runner: The Scorch Trials",6.6,6359,61000000
377,1984,"A Nightmare on Elm Street",7.2,2400,1800000
703,1977,"Annie Hall",7.8,1954,4000000
116,2005,"Match Point",7.3,2090,15000000
184352,2013,"Tom at the Farm",7,359,0
322125,2015,"A Perfect Man",7.1,322,0
401,2004,"Garden State",7.2,990,2500000
76758,2011,"The Flowers of War",7.4,333,94000000
188927,2016,"Star Trek Beyond",6.7,4272,185000000
303991,2016,"Demolition",6.7,1120,10000000
309302,2015,"Wolf Totem",6.5,213,38000000
290250,2016,"The Nice Guys",7.1,4262,50000000
