"genre_id","movie_id"
28,8393
35,8393
18,52366
53,50839
18,50839
53,238781
18,238781
878,335983
28,335983
80,483184
18,483184
53,483184
53,345887
28,345887
80,345887
18,338189
28,603
878,603
18,329865
878,329865
9648,329865
12,333339
878,333339
35,400579
18,400579
10752,2440
18,2440
53,2440
28,2440
28,336843
878,336843
18,384680
37,384680
36,384680
18,336804
10749,152584
18,152584
35,452187
18,452187
28,399035
53,399035
18,400617
10749,400617
80,396371
18,396371
878,300668
28,241554
18,241554
53,241554
10749,2882
18,2882
16,12477
18,12477
10752,12477
18,389015
28,284053
12,284053
35,284053
14,284053
18,399055
14,399055
10749,399055
53,427348
80,427348
18,10220
80,10220
18,397538
36,397538
18,63311
27,63311
9648,63311
53,63311
14,181808
12,181808
878,181808
28,181808
18,14410
10402,14410
18,71157
35,432068
18,395991
18,406997
10751,406997
16,339877
18,339877
9648,339877
80,10673
18,10673
35,369192
18,369192
36,369192
35,413778
18,451945
28,379149
53,379149
18,379149
878,335984
28,335984
53,335984
35,18785
18,434616
35,434616
35,347031
18,347031
10749,347031
14,347031
12,347031
18,407201
35,21778
16,585
35,585
10751,585
18,8424
35,8424
10749,8424
53,134374
80,134374
28,134374
35,134374
12,105
35,105
878,105
10751,105
12,587
14,587
18,587
18,1422
53,1422
80,1422
35,318917
18,65
10402,65
10749,372058
16,372058
18,372058
80,395834
18,395834
9648,395834
53,395834
18,390497
28,390497
53,390497
18,281338
878,281338
10752,281338
18,335578
36,335578
10752,335578
53,335578
35,273153
18,273153
10749,273153
28,157350
12,157350
878,157350
28,339403
80,339403
35,10086
80,10086
18,10086
27,10086
12,166426
28,166426
14,166426
35,166426
28,49040
53,49040
28,11953
18,11953
36,11953
10752,11953
12,8367
28,8367
18,8367
10749,8367
18,73211
28,73211
18,1541
53,1541
80,1541
12,1541
35,8736
9648,411088
80,411088
53,411088
12,297762
14,297762
10752,297762
10749,297762
18,392812
12,334524
18,334524
53,334524
12,339964
878,339964
28,339964
10752,374720
28,374720
18,374720
28,274857
18,274857
14,274857
18,393519
27,393519
18,432087
35,432087
18,55787
10749,55787
18,398924
80,82633
18,82633
10752,3683
18,3683
36,3683
18,25196
10402,25196
10749,25196
53,324552
28,324552
80,324552
18,253239
80,21575
18,21575
18,44629
53,44629
80,44629
9648,44629
35,300
18,300
14,300
80,185567
18,185567
53,185567
12,10315
16,10315
35,10315
10751,10315
35,5236
80,5236
9648,5236
53,5236
10402,12104
18,1381
12,1381
878,1381
10749,1381
14,1491
18,1491
53,1491
10749,1491
9648,419430
53,419430
27,419430
28,263115
18,263115
878,263115
18,315846
35,315846
10749,258480
18,258480
28,26502
12,26502
18,26502
37,26502
18,60243
35,257211
18,294016
18,687
27,1933
18,1933
9648,1933
53,1933
18,306819
18,28178
10751,28178
18,374473
18,68713
35,313369
18,313369
10749,313369
35,103332
10749,103332
14,103332
18,103332
35,382593
35,369557
10749,369557
18,369557
10402,369557
18,415665
12,314095
18,314095
36,314095
27,381288
53,381288
37,966
18,382591
35,382591
18,381284
36,381284
12,277834
35,277834
10751,277834
16,277834
53,290098
18,290098
10749,290098
28,330459
12,330459
878,330459
18,283366
14,283366
12,283366
10751,283366
18,68730
36,68730
12,333484
28,333484
37,333484
18,393457
18,296524
28,296524
18,258230
14,258230
18,363676
36,363676
12,259316
10751,259316
14,259316
18,324786
36,324786
10752,324786
18,11421
28,68735
12,68735
14,68735
28,396535
27,396535
53,396535
18,345920
10749,345920
18,274870
10749,274870
878,274870
80,302946
53,302946
18,302946
80,180863
18,180863
18,334543
35,319888
18,319888
36,319888
12,319888
14,82702
28,82702
12,82702
16,82702
35,82702
10751,82702
18,88273
36,88273
10749,88273
35,18628
18,112198
35,112198
18,192767
18,364137
35,364137
18,891
36,891
9648,891
53,891
80,13815
18,13815
53,13815
18,265177
18,302401
36,302401
80,302401
53,302401
18,59440
18,16804
37,429
12,10386
16,10386
10751,10386
878,10386
35,10386
18,18947
35,18947
27,9003
12,101299
28,101299
878,101299
878,131631
12,131631
53,131631
28,131634
12,131634
878,131634
18,265228
80,12143
18,12143
18,7984
18,770
10749,770
10752,770
28,76338
12,76338
14,76338
35,19963
53,236735
18,1164
18,194662
35,194662
37,281957
18,281957
12,281957
18,264660
878,264660
18,119193
36,119193
10749,119193
878,49047
53,49047
18,49047
35,3543
18,3543
18,3175
10749,3175
10752,3175
27,539
18,539
53,255343
10749,255343
12,5503
28,5503
53,5503
80,5503
9648,5503
80,1830
18,1830
53,1830
12,87827
18,87827
28,87827
18,227306
10752,227306
18,409
10749,409
10752,409
53,156022
28,156022
80,156022
80,226
18,226
18,5708
36,273895
18,273895
12,253412
18,253412
35,801
18,801
10752,801
18,380
80,819
18,819
53,819
80,23168
18,23168
53,23168
18,68734
53,68734
12,116745
35,116745
18,116745
14,116745
18,87492
53,87492
53,4553
18,4553
80,158011
53,158011
53,207933
80,117
18,117
36,117
53,117
18,203833
18,629
80,629
53,629
28,127585
12,127585
14,127585
878,127585
16,269149
12,269149
10751,269149
35,269149
18,21191
28,21191
53,21191
80,21191
18,366885
28,197950
80,197950
53,197950
18,1555
35,1555
10749,1555
35,1826
18,1826
10749,1826
35,206408
18,206408
10749,206408
35,788
18,788
10751,788
12,672
14,672
10751,672
9648,77
53,77
80,320
9648,320
53,320
18,1124
9648,1124
53,1124
28,27205
878,27205
12,27205
12,157336
18,157336
878,157336
80,9559
18,9559
53,9559
18,688
10749,688
18,70
28,1251
18,1251
10752,1251
80,3580
18,3580
9648,3580
10402,209451
18,209451
10752,190859
28,190859
28,135397
12,135397
878,135397
53,135397
18,265195
53,265195
35,265195
18,244786
10402,244786
80,242582
18,242582
53,242582
80,181283
53,181283
80,9905
53,9905
18,627
80,627
9648,473
18,473
53,473
18,1907
12,1907
10749,1907
53,1907
18,12405
10749,12405
53,68727
80,68727
18,68727
9648,68727
18,321697
36,321697
80,641
18,641
99,513138
80,77016
18,77016
53,77016
10752,228150
18,228150
28,228150
27,837
9648,837
878,837
18,59
53,59
80,59
53,2252
80,2252
9648,2252
18,205587
878,8077
28,8077
27,8077
18,550
80,1949
18,1949
9648,1949
53,1949
18,37799
18,209361
35,209361
10402,209361
12,72559
28,72559
878,72559
53,72559
18,1955
36,1955
80,793
18,793
9648,793
53,793
18,45317
18,82693
35,82693
10749,82693
12,767
14,767
10751,767
12,12444
14,12444
10751,12444
10751,12445
14,12445
12,12445
80,22302
18,22302
18,46738
10752,46738
9648,46738
18,146233
53,146233
80,146233
53,181886
9648,181886
28,273481
80,273481
53,273481
27,26466
28,137113
878,137113
878,17431
18,17431
53,45612
878,45612
9648,45612
18,11216
10749,11216
10752,9665
12,4476
18,4476
10749,4476
10752,4476
18,616
28,616
10752,616
36,616
53,245698
18,245698
18,220
10749,220
12,59468
35,59468
18,59468
14,11044
35,11044
18,11044
10749,11044
18,329819
878,1954
53,1954
35,304410
18,304410
10402,304410
18,11673
35,11673
36,11673
10749,11673
18,277216
10402,277216
18,137182
18,598
80,598
18,240
80,240
80,242
18,242
53,242
10749,6114
27,6114
18,6479
27,6479
28,6479
53,6479
878,6479
80,5924
18,5924
28,204082
53,204082
878,70160
12,70160
14,70160
18,979
53,979
80,979
9648,979
14,34647
18,34647
18,10316
12,8810
28,8810
53,8810
878,8810
28,76341
12,76341
878,76341
80,314402
18,314402
18,11978
10749,256591
35,256591
80,256591
18,256591
53,157825
18,157825
53,6145
18,10795
53,10795
80,10795
9648,10795
18,489
35,100
80,100
28,10528
12,10528
80,10528
9648,10528
35,203801
28,203801
12,203801
10749,137
14,137
18,137
35,137
35,11621
16,11621
12,11621
12,128
14,128
16,128
16,129
10751,129
14,129
18,68558
16,149871
18,149871
14,149871
18,200505
80,241239
18,241239
53,241239
28,54138
12,54138
878,54138
28,140607
12,140607
878,140607
14,140607
28,168259
80,168259
53,168259
35,10227
28,679
53,679
878,679
28,19995
12,19995
14,19995
878,19995
18,152599
10749,152599
28,118340
878,118340
12,118340
18,1245
10749,1245
36,284689
18,284689
10752,284689
18,266856
10749,266856
18,713
10749,713
28,214910
53,214910
18,130150
28,225574
53,225574
9648,225574
53,9736
18,192
53,192
9648,192
12,978
18,978
36,978
18,152532
36,152532
18,228970
878,8078
27,8078
28,8078
35,194
10749,194
12,157841
18,157841
10751,157841
53,64720
18,64720
18,103731
35,4104
18,4104
10749,4104
14,251
18,251
53,251
9648,251
10749,251
80,1554
18,1554
35,1554
80,4816
18,4816
18,152603
10749,152603
18,7445
53,7445
10752,7445
18,31900
12,331
28,331
53,331
878,331
28,307081
18,307081
35,290
18,290
35,115
80,115
80,6977
18,6977
53,6977
18,1551
27,1551
878,1551
53,1551
53,1817
18,1817
35,198277
10402,198277
10749,198277
18,198277
27,1091
9648,1091
878,1091
18,1366
12,20766
18,20766
35,2108
18,2108
35,140823
18,140823
36,140823
878,106
28,106
12,106
53,106
28,1669
12,1669
53,1669
28,1572
53,1572
12,9387
14,9387
28,9387
18,3116
80,85889
18,85889
35,85889
35,773
18,773
80,274
18,274
53,274
18,9800
28,75612
878,75612
12,75612
9648,75612
10749,222935
18,222935
18,115782
36,115782
28,99861
12,99861
878,99861
53,80278
18,80278
28,198663
9648,198663
878,198663
53,198663
53,97630
18,97630
36,97630
12,581
18,581
37,581
18,2013
18,6478
10402,6478
18,43920
28,11344
18,11344
80,11344
28,15067
12,15067
35,15067
37,15067
53,49797
27,49797
28,269494
80,269494
53,269494
18,2457
10749,2457
18,62215
878,62215
28,1571
53,1571
18,14794
53,101
80,101
18,101
18,866
80,8438
18,8438
53,8438
35,19913
18,19913
10749,19913
18,303483
10752,14574
18,14574
12,36557
28,36557
53,36557
18,1578
18,11873
80,524
18,524
18,3131
36,3131
80,3131
18,11324
53,11324
9648,11324
18,406
878,119450
28,119450
18,119450
53,119450
80,13573
18,13573
18,234200
35,234200
28,1579
12,1579
18,1579
53,1579
878,206487
53,206487
28,9802
12,9802
53,9802
18,10234
27,10234
53,10234
80,11454
27,11454
53,11454
28,9361
12,9361
18,9361
36,9361
10749,9361
10752,9361
18,154400
80,154400
18,245692
878,244267
18,244267
18,2288
10749,2288
53,196024
9648,196024
80,196024
80,254201
53,254201
9648,254201
18,254201
18,279
36,279
10402,279
16,303903
36,205596
18,205596
53,205596
10752,205596
18,57361
53,57361
80,57361
53,51876
9648,51876
878,51876
878,68724
28,68724
18,68724
53,68724
80,198184
28,198184
878,198184
10749,11036
18,11036
28,2061
80,2061
18,2061
53,2061
80,11328
18,11328
53,11328
18,64690
28,64690
53,64690
80,64690
878,63
53,63
9648,63
18,792
10752,792
28,792
80,241
53,241
18,241
35,310593
18,310593
18,670
53,670
9648,670
28,670
12,574
80,574
18,574
9648,574
53,574
28,109424
18,109424
53,109424
16,22504
10751,22504
14,22504
28,861
12,861
878,861
53,402
9648,402
18,11005
18,250734
10749,250734
28,193756
18,193756
10752,193756
12,49051
14,49051
28,49051
12,57158
14,57158
28,57158
28,122917
12,122917
14,122917
878,102899
28,102899
12,102899
36,5336
10752,5336
18,5336
27,5336
80,5336
28,8681
53,8681
35,45649
18,45649
14,45649
27,45649
9648,45649
35,179150
80,500
53,500
53,680
80,680
28,393
80,393
53,393
28,1991
53,1991
18,16869
28,16869
53,16869
10752,16869
18,68718
37,68718
35,508
10749,508
18,508
18,4348
10749,4348
28,1573
53,1573
28,59967
53,59967
878,59967
18,22803
80,22803
53,22803
12,941
28,941
35,941
53,941
